"기능","우선순위","테스트","상태","결과","다음조치","파일"
"설정창","높음","열기/닫기","대기","Start Screen 설정 버튼으로 SettingPanel 토글 확인 필요","설정 버튼 반복 클릭 후 NullReference 확인","StartScreenView.cs"
"설정창","중간","탭 전환","대기","비디오/오디오/게임플레이 패널 중 하나만 보여야 함","각 탭 클릭 후 panels 활성 상태 확인","SettingPanelView.cs"
"오디오","높음","Master Volume 저장 유지","대기","MasterVolume 값이 재시작 후 유지되어야 함","슬라이더 변경 후 재시작 확인","AudioSettingView.cs"
"오디오","높음","BGM Volume 저장 유지","대기","BGMVolume 값이 재시작 후 유지되어야 함","슬라이더 변경 후 재시작 확인","AudioSettingView.cs"
"오디오","높음","SFX Volume 저장 유지","대기","SFXVolume 값이 재시작 후 유지되어야 함","슬라이더 변경 후 재시작 확인","AudioSettingView.cs"
"오디오","높음","볼륨 0 처리","대기","볼륨 0 설정 시 에러 없이 음소거되어야 함","Master/BGM/SFX 0 설정 후 콘솔 확인","AudioSettingView.cs"
"비디오","중간","해상도 저장 유지","대기","resolutionIndex 값과 실제 해상도가 재시작 후 유지되어야 함","토글 선택 후 재시작 확인","VideoSettingView.cs"
"비디오","중간","화면 모드 저장 유지","대기","screenModeIndex 값과 실제 화면 모드가 재시작 후 유지되어야 함","토글 선택 후 재시작 확인","VideoSettingView.cs"
"게임플레이","높음","스토리 스킵 저장 유지","대기","IsStorySkip 값이 재시작 후 유지되어야 함","옵션 변경 후 Story Scene 진입 확인","GameplaySettingView.cs"
"게임플레이","높음","마우스 전용 조작 저장 유지","대기","IsOnlyMouse 값이 재시작 후 유지되어야 함","옵션 변경 후 입력 처리 확인","GameplaySettingView.cs"
"새 게임","높음","옵션 유지","대기","새 게임 시작 시 진행 데이터만 초기화되고 옵션은 유지되어야 함","옵션 변경 후 새 게임 시작 및 재확인","GameSaveController.cs"
"이어하기","중간","옵션 유지","대기","이어하기 후 Stage/Story/Fight 씬에서도 옵션이 유지되어야 함","옵션 변경 후 이어하기와 씬 이동 확인","StartScreenView.cs"
"자동 검사","높음","옵션 유지 테스트 추가","수정 확인","StartNewGame과 ResetGameProgress 후 옵션 PlayerPrefs 유지 테스트 추가, 컴파일 통과","MCP 연결 복구 후 PlayMode 테스트 재실행","GameSaveProgressReadTests.cs"
"설정창","중간","닫기/다시 열기 표시 유지","대기","옵션창을 다시 열어도 현재 탭/값 표시가 깨지면 안 됨","설정값 변경 후 옵션창 닫기/열기 반복 확인","SettingPanelView.cs"
"오디오","높음","조합 볼륨 AudioMixer 반영","대기","Master/BGM/SFX 조합이 실제 mixer 값에 반영되어야 함","AudioMixer 파라미터 확인","AudioSettingView.cs"
"비디오","중간","토글 안정성","대기","같은 토글을 다시 눌러도 모든 토글이 꺼지면 안 됨","해상도/화면 모드 토글 반복 클릭 확인","VideoSettingView.cs"
"비디오","중간","잘못된 저장 인덱스","대기","resolutionIndex/screenModeIndex가 범위를 벗어나도 기본값으로 복구되어야 함","PlayerPrefs에 -1/99 저장 후 옵션창 진입","VideoSettingView.cs"
"게임플레이","높음","Story Skip 실제 반영","대기","Story Skip 설정이 실제 스토리 진입/스킵 동작에 반영되어야 함","Story Screen 진입 후 동작 확인","GameplaySettingView.cs"
"게임플레이","높음","Only Mouse 실제 반영","대기","Only Mouse 설정이 실제 Story 입력 처리에 반영되어야 함","Space/Click 입력 비교","GameplaySettingView.cs"
"직접 진입","중간","옵션 UI 없는 씬 안정성","대기","옵션 UI 없는 씬에서 설정 관련 참조 누락 에러가 없어야 함","Story/Fight 씬 단독 Play 후 콘솔 확인","SettingPanelView.cs"
