캐릭터 ID,캐릭터,대사
1,,어느 이름 모를 왕국에 강력한 힘을 가진 대마법사가 살고 있었습니다.
2,,"""쳐들어오는 마계의 적들을 물리치고 왕국을 지킨 그는 많은 이들에게 칭송받는 영웅이었습니다."""
3,,"""어느 화창한 봄날, 그는 한 장의 유언장과 함께 조용히 세상을 떠났습니다."
4,,"""'내 제자만이 중간계에 살아 있는 다크 드래곤을 물리치리라.'"""
5,,"""왕은 그 '제자'를 찾아오라고 명령했고, 군대는 며칠 밤낮으로 나라 전부를 이잡듯이 뒤졌습니다."""
6,,"""그리고 마침내, 나타났습니다. 우리의 주인공이!"""
7,,"""하지만 이를 어쩌나!"""
,,"""그는 '소환수'를 부르는 것 이외에는 아무것도 하지 못하는 나약한 마법사일 뿐입니다."""
8,,"""사람들은 그걸 알 리가 없었고, 왕은 그에게 드래곤의 머리를 가져오라 명했습니다."""
9,,"""…그렇게 해서 이야기는 시작됩니다."""
,,"""새로이, 여기서부터."""
10,,"""긴 전투 끝에, 드래곤은 쓰러졌습니다."""
,,"""마지막 숨과 함께 심장의 보석을 남기가 사라졌죠."""
11,,"""의기양양하게 왕국으로 돌아온 마법사."""
,,"""드래곤의 심장을 보여주자 사람들은 기뻐했습니다."""
12,,"""그는 원하던 보상을 얻었고 대마법사가 되었습니다."""
,,"""그리고, 여전히 생각했습니다."""
13,,"""어느덧 시간 속의 마지막 날이 되었습니다."""
,,"""그의 동상을 바라보며, 대마법사는 힘겹게 유언을 남겼습니다."""
14,,"""'내 제자만이 마계의 왕을 물리치리라.'"""
15,,"""…이야기는 되풀이됩니다."""
,,"""여전히, 그리고 무한히."""
16,주인공,
17,주인공,
18,주인공,
,주인공,
19,주인공,
,주인공,
20,주인공,
21,주인공,
22,주인공,
23,주인공,
24,주인공,
25,주인공,
26,주인공,
27,주인공,
28,주인공,
29,주인공,
,주인공,
30,주인공,
31,주인공,
,주인공,
32,주인공,
33,주인공,
34,주인공,
,주인공,
35,주인공,
36,주인공,
37,주인공,
38,주인공,
39,주인공,
40,주인공,
41,주인공,
42,주인공,
43,주인공,
,주인공,
44,주인공,
,주인공,
45,주인공,
,주인공,
,주인공,
46,주인공,
,주인공,
,주인공,
,주인공,
47,주인공,
,주인공,
48,주인공,
,주인공,
