"기능","우선순위","테스트","상태","결과","다음조치","파일"
"이어하기","높음","Save 시스템 연결","부분 완료","StartSavedStage가 GameSaveController 사용, HasGameSave 조건 강화 확인","Unity Test Runner PlayMode 실행","StartScreenView.cs"
"이어하기","높음","저장 있음 판단","완료","HasGameSave가 savedStage >= 1 기준으로 판단","추가 조치 없음","PlayerPrefsSaveStore.cs"
"이어하기","중간","저장 없음 버튼 숨김","미실행","PlayMode 테스트 추가됨","Unity Test Runner에서 실행","GameSaveContinueTests.cs"
"이어하기","중간","저장 있음 버튼 표시","미실행","MCP PlayMode timeout","Unity Test Runner에서 실행","GameSaveContinueTests.cs"
"이어하기","중간","savedStage 로드","미실행","MCP PlayMode timeout","Unity Test Runner에서 실행","GameSaveContinueTests.cs"
"이어하기","높음","savedStage=0 방어","완료","HasGameSave가 savedStage=0을 저장 없음으로 처리","GameSaveContinueTests 재실행","PlayerPrefsSaveStore.cs"
"이어하기","낮음","GetGameSave 중복 호출","완료","StartScreenView에서 새 게임 직후 로그용 재조회 제거","새 게임 시작 스테이지 값 재사용","StartScreenView.cs"
"이어하기","낮음","LoadStage 미사용","완료","코드/테스트/씬 검색 결과 호출 없음, 메서드도 남아 있지 않음","추가 조치 없음","StartScreenView.cs"
"새 게임 시작","높음","옵션 유지","대기","StartNewGame 연결은 보임","DeleteAll 잔존 여부 확인","StartScreenEvent.cs"
"스테이지 선택 저장","중간","playingStage 저장","대기","아직 기능 QA 전","SavePlayingStage 연결 후 검사","StageSelectView.cs"
"전투 클리어 저장","높음","savedStage 진행 저장","수정 확인","BattleResultAlertView에서 SaveClearedStage(stageNum + 1) 호출 정적 확인, Alert 클릭 후 런타임 재확인 필요","Fight Screen에서 승리 Alert 확인 후 savedStage 증가 검사","BattleResultAlertView.cs"
"자동 검사","높음","PlayerPrefs 접근 위치 회귀","완료","GameSystemStaticRegressionTests 4/4 통과","추가 조치 없음","GameSystemStaticRegressionTests.cs"
"자동 검사","중간","LoadStage 재등장 방지","완료","GameSystemStaticRegressionTests 4/4 통과","추가 조치 없음","GameSystemStaticRegressionTests.cs"
"자동 검사","중간","StartScreenView GetGameSave 중복 방지","완료","GameSystemStaticRegressionTests 4/4 통과","추가 조치 없음","GameSystemStaticRegressionTests.cs"
"MCP","중간","PlayMode 실행","차단","GameSaveProgressReadTests는 timeout, GameSaveContinueTests는 Connection failed: Unknown error","Unity 직접 실행 결과 기록","mcp_unity.run_tests"
"MCP","낮음","씬 정보 조회","통과","Start Screen 확인됨","MCP 연결 정상","mcp_unity.get_scene_info"
"MCP","최우선","GameSystem QA 실행 경로 복구","부분 완료","recompile_scripts warning 0, GameSystemStaticRegressionTests 4/4 통과. PlayMode는 timeout/connection 오류로 차단","MCP PlayMode run_tests 연결 복구 후 재실행","mcp_unity.run_tests"
"스테이지 잠금","높음","savedStage=1 선택 범위","대기","1스테이지만 선택 가능해야 함","Stage Select Screen 버튼 배열 순서와 interactable 확인","StageSelectView.cs"
"스테이지 잠금","높음","savedStage=2 선택 범위","대기","1~2스테이지만 선택 가능해야 함","Stage Select Screen 버튼 배열 순서와 interactable 확인","StageSelectView.cs"
"스테이지 잠금","높음","savedStage=3 선택 범위","대기","1~3스테이지만 선택 가능해야 함","Stage Select Screen 버튼 배열 순서와 interactable 확인","StageSelectView.cs"
"스테이지 잠금","높음","savedStage=4 선택 범위","대기","1~4스테이지만 선택 가능해야 함","Stage Select Screen 버튼 배열 순서와 interactable 확인","StageSelectView.cs"
"스테이지 잠금","높음","savedStage=5 선택 범위","대기","1~5스테이지만 선택 가능해야 함","Stage Select Screen 버튼 배열 순서와 interactable 확인","StageSelectView.cs"
"스테이지 잠금","높음","savedStage=6 선택 범위","대기","1~6스테이지만 선택 가능해야 함","Stage Select Screen 버튼 배열 순서와 interactable 확인","StageSelectView.cs"
"스테이지 잠금","높음","savedStage=7 선택 범위","대기","1~7스테이지가 선택 가능해야 함","Stage Select Screen 버튼 배열 순서와 interactable 확인","StageSelectView.cs"
"이어하기","높음","1스테이지 클리어 후 재시작","대기","이어하기 시 2스테이지 진행 가능해야 함","클리어 직후 저장값과 재시작 후 Stage Select 상태 확인","GameSaveController.cs"
"이어하기","높음","2스테이지 클리어 후 재시작","대기","이어하기 시 3스테이지 진행 가능해야 함","클리어 직후 저장값과 재시작 후 Stage Select 상태 확인","GameSaveController.cs"
"이어하기","높음","3스테이지 클리어 후 재시작","대기","이어하기 시 4스테이지 진행 가능해야 함","클리어 직후 저장값과 재시작 후 Stage Select 상태 확인","GameSaveController.cs"
"이어하기","높음","4스테이지 클리어 후 재시작","대기","이어하기 시 5스테이지 진행 가능해야 함","클리어 직후 저장값과 재시작 후 Stage Select 상태 확인","GameSaveController.cs"
"이어하기","높음","5스테이지 클리어 후 재시작","대기","이어하기 시 6스테이지 진행 가능해야 함","클리어 직후 저장값과 재시작 후 Stage Select 상태 확인","GameSaveController.cs"
"이어하기","높음","6스테이지 클리어 후 재시작","대기","이어하기 시 7스테이지 진행 가능해야 함","클리어 직후 저장값과 재시작 후 Stage Select 상태 확인","GameSaveController.cs"
"이어하기","높음","7스테이지 클리어 후 재시작","대기","Epilogue 또는 완료 상태 흐름이 유지되어야 함","7스테이지 클리어 후 저장값과 다음 진입 흐름 확인","StageFlowController.cs"
"진행도 보호","높음","이전 스테이지 재클리어","대기","높은 savedStage가 낮아지면 안 됨","높은 진행도 저장 후 낮은 스테이지 재클리어 확인","GameSaveController.cs"
"시스템 동작","높음","비파괴 컨트롤러 유지","대기","GameSaveController와 StageFlowController가 씬 이동 후 유지되어야 함","Start Screen부터 Stage/Story/Fight 이동하며 인스턴스 확인","GameSaveController.cs, StageFlowController.cs"
"자동 검사","높음","스테이지 진행 테스트 추가","수정 확인","GameSaveProgressReadTests와 StageRuntimeFlowPlayModeTests에 저장/잠금/다음 씬 이동 테스트 추가, 2026-05-31 컴파일 통과. PlayMode run_tests는 timeout","MCP PlayMode 연결 복구 후 테스트 재실행","GameSaveProgressReadTests.cs, StageRuntimeFlowPlayModeTests.cs"
"저장값 방어","높음","savedStage 0 이하","대기","savedStage가 0 이하이면 이어하기가 비활성화되어야 함","PlayerPrefs 직접 조작 후 Start Screen 확인","PlayerPrefsSaveStore.cs"
"저장값 방어","높음","savedStage 8 이상","정적 확인","StageTextView는 표시값을 7로 제한하고 StageSelectView는 buttons.Length까지만 활성화함. 런타임 확인 필요","PlayerPrefs 직접 조작 후 Stage Select 확인","StageSelectView.cs, StageTextView.cs"
"저장값 방어","높음","playingStage가 savedStage보다 큼","대기","StartSavedStage는 savedStage를 사용하지만 StorySkipView 등 playingStage 사용 경로 런타임 확인 필요","savedStage/playingStage 불일치 저장값으로 이어하기 확인","StartScreenView.cs, StageFlowController.cs"
"Alert 취소","높음","새 게임 No","대기","새 게임 Alert에서 No를 누르면 저장값과 씬이 유지되어야 함","No 클릭 전후 PlayerPrefs와 현재 씬 확인","StartScreenView.cs"
"Alert 취소","높음","이어하기 No","대기","이어하기 Alert에서 No를 누르면 Stage Select로 이동하지 않아야 함","No 클릭 전후 PlayerPrefs와 현재 씬 확인","StartScreenView.cs"
"중복 입력","중간","새 게임/이어하기 연타","대기","Alert와 씬 이동이 중복 실행되면 안 됨","버튼 연타 후 로그와 씬 이동 횟수 확인","StartScreenView.cs"
"직접 진입","중간","Stage Select 단독 실행","대기","Start Screen 없이 실행해도 저장/스테이지 선택 흐름이 깨지지 않아야 함","Stage Select Screen 단독 Play 확인","StageSelectView.cs"
"빌드 세팅","높음","필수 씬 등록","대기","LoadScene 대상 씬이 모두 Build Settings에 등록되어야 함","EditorBuildSettings.asset과 씬 파일 목록 비교","EditorBuildSettings.asset"

