"순서","우선순위","ID","파일","진행상태","핵심위험","다음조치"
"1","최우선","QA-MCP-00","01_GameSystem_QA.csv;02_StorySystem_QA.csv;05_OptionSystem_QA.csv;06_SceneObject_QA.csv","Partial Pass/Blocked","recompile_scripts warning 0 통과, EditMode 관련 테스트 통과, PlayMode run_tests는 timeout 또는 Connection failed: Unknown error","MCP PlayMode run_tests 연결 복구 후 GameSystem/StorySystem/OptionSystem/SceneObject PlayMode 재실행"
"2","높음","BUG-BC-001","03_BattleCore_QA.csv","Fixed","BattleResultController/BattleProgressController/BattleStageContext 구조로 수정 완료, TurnController StageController 의존 제거","QAAgent가 Fight Screen 승리 Alert, retry, 다음 스테이지 이동/저장 런타임 재검증"
"2.5","높음","BUG-BC-002","03_BattleCore_QA.csv","Open Fail","Fight 1Stage PlayMode 재시도 중 Summon.Update line 77 NullReferenceException 발생","DevAgent가 Summon View 초기화 경로 수정 후 PlayMode 전투 테스트 재실행"
"3","높음","BUG-GS-002","01_GameSystem_QA.csv","Open Blocked","MCP PlayMode GameSaveProgressReadTests는 timeout, GameSaveContinueTests는 Connection failed: Unknown error","자동 테스트 실행 경로 복구"
"4","높음","BUG-ST-001","02_StorySystem_QA.csv","Closed","StorySystemStaticRegressionTests 25/25 통과로 Stage 입력 공통화 EditMode 재검증 완료","추가 조치 없음"
"5","높음","BUG-ST-003","02_StorySystem_QA.csv","Open Blocked","StageRuntimeFlowPlayModeTests가 timeout으로 실행 불가","StageRuntimeFlowPlayModeTests 재실행"
"6","높음","BUG-OP-003","05_OptionSystem_QA.csv","Open Blocked","GameSaveProgressReadTests 옵션 유지 테스트가 timeout으로 실행 불가","GameSaveProgressReadTests 옵션 유지 테스트 재실행"
"7","높음","BUG-GS-003","01_GameSystem_QA.csv","Open","savedStage 8 이상 표시/버튼 정적 방어 확인, playingStage 불일치 런타임 미확인","비정상 저장값 런타임 QA"
"8","높음","BUG-ST-002","02_StorySystem_QA.csv","Open Runtime QA","Story Skip 옵션은 StorySkipView에 정적 연결 확인, 실제 흐름 미확인","Story Screen 진입/스킵 QA"
"9","높음","BUG-ST-004","02_StorySystem_QA.csv","Open Fail","StoryScenarioControllerBase가 IsOnlyMouse를 확인하지 않고 Space 입력 처리","Only Mouse 입력 처리 수정 후 Space/Click 비교 QA"
"10","높음","BUG-OP-001","05_OptionSystem_QA.csv","Open Fail","볼륨 0에서 Mathf.Log10(0) 호출 가능","볼륨 0 하한 처리 수정 후 콘솔 에러 확인"
"11","높음","BUG-OP-002","05_OptionSystem_QA.csv","Open Fail","Story Skip은 정적 연결, Only Mouse는 Story 입력 처리 미반영","StorySystem QA와 함께 확인"
"12","중간","BUG-OP-004","05_OptionSystem_QA.csv","Open Fail","잘못된 비디오 저장 인덱스가 기본값으로 복구되지 않고 모든 토글이 꺼질 수 있음","-1/99 저장값 기본 복구 처리 후 옵션창 진입 확인"
"13","높음","GS-QA","01_GameSystem_QA.csv","Pending QA","이어하기와 스테이지 진행 런타임 검증 필요","이어하기, 잠금/해금, 재시작 후 이어하기 확인"
"14","높음","ST-QA","02_StorySystem_QA.csv","Pending QA","스토리 진입/종료 런타임 검증 필요","Stage1/2/3/5/7 진입 조건과 종료 씬 확인"
"15","높음","OP-QA","05_OptionSystem_QA.csv","Pending QA","옵션 저장 유지 미확인","옵션 변경 후 씬 이동/재시작 유지 확인"
"16","중간","BC-QA","03_BattleCore_QA.csv","Pending QA","턴/마나/공격 회귀 가능","턴 시작, 턴 종료, 공격 흐름 확인"
"17","중간","BT-QA","04_BattleContent_QA.csv","Pending QA","소환 후보와 배치 회귀 가능","소환 후보 표시와 배치 확인"
"18","중간","SO-QA","06_SceneObject_QA.csv","Partial Pass/Fail","HUD/Fight 1Stage 구조 QA는 Pass, Fight 1Stage 런타임은 BUG-BC-002로 Fail","BUG-BC-002 수정 후 SceneObject PlayMode 재검증"
