"기능","우선순위","테스트","상태","결과","다음조치","파일"
"CSV 대사 파싱","높음","CSV 로드","대기","아직 QA 전","DialogueCsvParse 테스트 작성","DialogueParser.cs"
"CSV 대사 파싱","높음","대사 범위 선택","대기","아직 QA 전","storyNum별 범위 테스트","StoryStage.cs"
"대사 진행","높음","다음 대사 출력","대기","아직 QA 전","InteractionController 흐름 검사","InteractionController.cs"
"대사 진행","중간","클릭 입력","대기","아직 QA 전","클릭으로 다음 줄 진행 확인","Stage*_Controller.cs"
"대사 진행","중간","Space 입력","대기","아직 QA 전","Space로 다음 줄 진행 확인","Stage*_Controller.cs"
"Stage 연출","중간","Stage1 연출","대기","아직 QA 전","Stage1 먼저 기준 테스트","Stage1_Controller.cs"
"Stage 연출","중간","캐릭터 이동","대기","아직 QA 전","이동 중 입력 무시 확인","PlayerMove.cs"
"스토리 종료","높음","전투 씬 이동","대기","아직 QA 전","Fight Screen_NStage 이동 확인","InteractionController.cs"
"스토리 종료","중간","Epilogue 종료","대기","아직 QA 전","Thank Screen 이동 확인","InteractionController.cs"
"자동 검사","중간","Story View 이름 회귀","완료","StorySystemStaticRegressionTests 5개 통과","추가 조치 없음","StorySystemStaticRegressionTests.cs"
"자동 검사","중간","FadePanelView 씬 GUID 유지","완료","기존 FadeController GUID 유지와 씬 참조 확인","추가 조치 없음","FadePanelView.cs"
"자동 검사","중간","MainSceneButtonView 씬 GUID 유지","정적 확인","기존 ClicktoMain GUID 유지와 Thank Screen 참조 확인","Unity Test Runner EditMode 재실행","MainSceneButtonView.cs"
"MCP","중간","StorySystemStaticRegressionTests 재실행","완료","25/25 통과","추가 조치 없음","mcp_unity.run_tests"
"MCP","높음","스크립트 재컴파일","완료","recompile_scripts 성공, warning 0","PlayMode timeout은 별도 추적","mcp_unity.recompile_scripts"
"자동 검사","중간","StorySkipView 씬 GUID 유지","정적 확인","기존 Story GUID 유지와 Story Scene 참조 확인","Unity Test Runner EditMode 재실행","StorySkipView.cs"
"자동 검사","중간","StorySkipView UnityEvent 타입명","정적 확인","Story 씬 UnityEvent 타입명을 StorySkipView로 갱신","Unity Test Runner EditMode 재실행","Story Screen_*.unity"
"스토리 종료","높음","다음 씬 이름 결정","완료","StorySceneMove.GetNextSceneName 테스트 통과","추가 조치 없음","StorySceneMove.cs"
"자동 검사","중간","InteractionController 씬 이동 위임","완료","EndDialogue FadeOut 콜백 위임 테스트 통과","추가 조치 없음","InteractionController.cs"
"대사 진행","높음","대사 Text UI 출력","완료","DialogueLineShow 분리와 줄 결합 테스트 통과","추가 조치 없음","DialogueLineShow.cs"
"자동 검사","중간","대사 줄 결합 규칙","완료","기존 2줄 단위 결합 규칙 테스트 통과","추가 조치 없음","StorySystemStaticRegressionTests.cs"
"대사 진행","높음","Dialogue/Line 인덱스 진행","완료","StoryProgressAdvance 위임 정적 테스트 통과","추가 조치 없음","StoryProgressAdvance.cs"
"자동 검사","중간","InteractionController 대사 진행 위임","완료","StartDialogue와 ShowNextLine 위임 테스트 통과","추가 조치 없음","InteractionController.cs"
"CSV 대사 파싱","높음","CSV 로드 책임 분리","완료","DialogueDatabaseLoad로 Resources TextAsset 로드 분리 테스트 통과","추가 조치 없음","DialogueDatabaseLoad.cs"
"CSV 대사 파싱","높음","CSV 문자열 파싱 책임 분리","완료","DialogueCsvParse 행 분리와 따옴표 제거 규칙 테스트 통과","추가 조치 없음","DialogueCsvParse.cs"
"자동 검사","중간","DialogueParser 위임","완료","DialogueParser.Parse 위임 테스트 통과","추가 조치 없음","DialogueParser.cs"
"Stage 연출","중간","Stage1 입력 공통화","정적 확인","StoryScenarioControllerBase로 Space/Click/중복 대사 ID 흐름 이동","Unity Test Runner EditMode 재실행","Stage1_Controller.cs"
"자동 검사","중간","Stage1 공통 입력 위임","완료","Stage1_Controller가 StoryScenarioControllerBase를 상속하고 입력 메서드 제거, StorySystemStaticRegressionTests 통과","추가 조치 없음","StorySystemStaticRegressionTests.cs"
"MCP","높음","Stage1 공통화 후 테스트 재실행","완료","StorySystemStaticRegressionTests 25/25 통과","추가 조치 없음","mcp_unity.run_tests"
"Unity BatchMode","높음","Stage1 공통화 후 EditMode 테스트","보류","Unity Editor 유지 조건으로 batchmode 실행하지 않음","열려 있는 Editor의 MCP 또는 수동 QA로 검증","UnityTestRunner_EditMode.log"
"Stage 연출","중간","Stage2 입력 공통화","정적 확인","StoryScenarioControllerBase로 Space/Click/중복 대사 ID 흐름 이동","Unity Test Runner EditMode 재실행","Stage2_Controller.cs"
"자동 검사","중간","Stage2 공통 입력 위임","완료","Stage2_Controller가 StoryScenarioControllerBase를 상속하고 입력 메서드 제거, StorySystemStaticRegressionTests 통과","추가 조치 없음","StorySystemStaticRegressionTests.cs"
"MCP","높음","Stage2 공통화 후 테스트 재실행","완료","StorySystemStaticRegressionTests 25/25 통과","추가 조치 없음","mcp_unity.run_tests"
"Stage 연출","중간","Stage3 입력 공통화","정적 확인","StoryScenarioControllerBase로 Space/Click/중복 대사 ID 흐름 이동","Unity Test Runner EditMode 재실행","Stage3_Controller.cs"
"자동 검사","중간","Stage3 공통 입력 위임","완료","Stage3_Controller가 StoryScenarioControllerBase를 상속하고 입력 메서드 제거, StorySystemStaticRegressionTests 통과","추가 조치 없음","StorySystemStaticRegressionTests.cs"
"MCP","높음","Stage3 공통화 후 테스트 재실행","완료","StorySystemStaticRegressionTests 25/25 통과","추가 조치 없음","mcp_unity.run_tests"
"Stage 연출","중간","Stage5 입력 공통화","정적 확인","StoryScenarioControllerBase로 Space/Click/중복 대사 ID 흐름 이동","Unity Test Runner EditMode 재실행","Stage5_Controller.cs"
"자동 검사","중간","Stage5 공통 입력 위임","완료","Stage5_Controller가 StoryScenarioControllerBase를 상속하고 입력 메서드 제거, StorySystemStaticRegressionTests 통과","추가 조치 없음","StorySystemStaticRegressionTests.cs"
"MCP","높음","Stage5 공통화 후 테스트 재실행","완료","StorySystemStaticRegressionTests 25/25 통과","추가 조치 없음","mcp_unity.run_tests"
"Stage 연출","중간","Stage7 입력 공통화","정적 확인","StoryScenarioControllerBase로 Space/Click/중복 대사 ID 흐름 이동","Unity Test Runner EditMode 재실행","Stage7_Controller.cs"
"자동 검사","중간","Stage7 공통 입력 위임","완료","Stage7_Controller가 StoryScenarioControllerBase를 상속하고 입력 메서드 제거, StorySystemStaticRegressionTests 통과","추가 조치 없음","StorySystemStaticRegressionTests.cs"
"MCP","높음","Stage7 공통화 후 테스트 재실행","완료","StorySystemStaticRegressionTests 25/25 통과","추가 조치 없음","mcp_unity.run_tests"
"MCP","최우선","StorySystem QA 실행 경로 복구","완료","recompile_scripts warning 0, StorySystemStaticRegressionTests 25/25 통과","추가 조치 없음","mcp_unity.run_tests"
"스토리 진입","높음","savedStage=1에서 Stage2 Story 진입 차단","대기","1스테이지 미클리어 상태에서 2스테이지 Story로 갈 수 없어야 함","Stage Select 버튼 잠금과 직접 진입 방어 범위 확인","StageSelectView.cs"
"스토리 진입","높음","savedStage=2에서 Stage3 Story 진입 차단","대기","2스테이지 미클리어 상태에서 3스테이지 Story로 갈 수 없어야 함","Stage Select 버튼 잠금과 직접 진입 방어 범위 확인","StageSelectView.cs"
"스토리 진입","높음","savedStage=3에서 Stage5 Story 진입 차단","대기","3스테이지 미클리어 상태에서 5스테이지 Story로 갈 수 없어야 함","Stage Select 버튼 잠금과 직접 진입 방어 범위 확인","StageSelectView.cs"
"스토리 진입","높음","savedStage=5에서 Stage7 Story 진입 차단","대기","5스테이지 미클리어 상태에서 7스테이지 Story로 갈 수 없어야 함","Stage Select 버튼 잠금과 직접 진입 방어 범위 확인","StageSelectView.cs"
"스토리 종료","높음","Stage1 Story 종료 후 전투 이동","대기","Story Screen_1Stage 종료 후 Fight Screen_1Stage로 이동해야 함","마지막 대사/연출 이후 씬 이동 확인","StorySceneMove.cs"
"스토리 종료","높음","Stage2 Story 종료 후 전투 이동","대기","Story Screen_2Stage 종료 후 Fight Screen_2Stage로 이동해야 함","마지막 대사/연출 이후 씬 이동 확인","StorySceneMove.cs"
"스토리 종료","높음","Stage3 Story 종료 후 전투 이동","대기","Story Screen_3Stage 종료 후 Fight Screen_3Stage로 이동해야 함","마지막 대사/연출 이후 씬 이동 확인","StorySceneMove.cs"
"스토리 종료","높음","Stage5 Story 종료 후 전투 이동","대기","Story Screen_5Stage 종료 후 Fight Screen_5Stage로 이동해야 함","마지막 대사/연출 이후 씬 이동 확인","StorySceneMove.cs"
"스토리 종료","높음","Stage7 Story 종료 후 전투 이동","대기","Story Screen_7Stage 종료 후 Fight Screen_7Stage로 이동해야 함","마지막 대사/연출 이후 씬 이동 확인","StorySceneMove.cs"
"스토리 없는 스테이지","높음","Stage4 직접 전투 이동","대기","Stage4 선택 시 Fight Screen_4Stage로 이동해야 함","savedStage=4 상태에서 Stage Select 클릭 확인","StageFlowController.cs"
"스토리 없는 스테이지","높음","Stage6 직접 전투 이동","대기","Stage6 선택 시 Fight Screen_6Stage로 이동해야 함","savedStage=6 상태에서 Stage Select 클릭 확인","StageFlowController.cs"
"스토리 옵션","중간","스토리 스킵 설정 적용","정적 확인","StorySkipView가 SettingPanelView의 IsStorySkip 값을 읽어 SkipBtn 활성화에 사용함. 런타임 Story 진입 결과는 미확인","옵션 저장 후 Stage1/2/3/5/7 Story 진입 결과 확인","GameplaySettingView.cs, StorySkipView.cs"
"자동 검사","높음","StageFlowController 다음 씬 이동 테스트 추가","수정 확인","Stage1->Stage2 Story, Stage3->Stage4 Fight, Stage5->Stage6 Fight, Stage7->Epilogue 이동 테스트 추가, 2026-05-31 컴파일 통과. PlayMode run_tests는 timeout","MCP PlayMode 연결 복구 후 테스트 재실행","StageRuntimeFlowPlayModeTests.cs"
"직접 진입","중간","Story Screen 단독 실행","대기","각 Story Screen 단독 Play 시 필수 참조 누락이 없어야 함","Story Screen_1/2/3/5/7Stage 단독 Play 확인","StoryStage.cs, InteractionController.cs"
"입력 제한","높음","Only Mouse ON","실패 후보","StoryScenarioControllerBase가 IsOnlyMouse를 확인하지 않고 Space 입력을 처리함","Only Mouse 입력 처리 수정 후 Space/Click 입력 비교","GameplaySettingView.cs, StoryScenarioControllerBase.cs"
"입력 제한","높음","Only Mouse OFF","정적 확인","Space와 PointerClick 입력 경로는 존재하지만 옵션 OFF/ON 분기는 없음","옵션 분기 추가 후 Space/Click 입력 비교","StoryScenarioControllerBase.cs"
"대사 데이터","중간","storyNum별 CSV 범위","대기","각 storyNum별 대사가 비어 있으면 안 됨","Resources CSV 전체 파싱 결과 확인","DialogueParser.cs"
"대사 데이터","중간","CSV 빈 줄/쉼표 안정성","대기","빈 줄/쉼표/따옴표가 포함되어도 파싱이 깨지면 안 됨","CSV 샘플과 실제 데이터 파싱 확인","DialogueCsvParse.cs"
